Year,Era,Event,Significance,Region,Key Figures
-2600,Indus Valley Civilization,"Emergence of Harappa and Mohenjo-daro","First major urban civilization in South Asia","Northwestern India and Pakistan","Unknown"
-1500,Vedic Period,"Arrival of Indo-Aryans and composition of the Vedas","Foundation of Hindu philosophy and practices","Northern India","Vedic sages"
-599,Ancient India,"Birth of Mahavira, founder of Jainism","Establishment of Jainism","Eastern India","Mahavira"
-563,Ancient India,"Birth of Gautama Buddha","Founding of Buddhism","Northern India","Gautama Buddha"
-326,Ancient India,"Alexander the Great's invasion of India","First major Western contact with India","Northwestern India","Alexander the Great, King Porus"
-322,Mauryan Empire,"Establishment of Mauryan Empire by Chandragupta Maurya","First major empire unifying most of India","Northern and Central India","Chandragupta Maurya, Chanakya"
-273,Mauryan Empire,"Ashoka the Great becomes emperor","Spread of Buddhism and principles of non-violence","Most of Indian subcontinent","Ashoka the Great"
-185,Post-Mauryan Period,"Fall of Mauryan Empire","Fragmentation of central authority","Northern India","Pushyamitra Shunga"
320,Gupta Empire,"Establishment of Gupta Empire","Golden Age of India - advancements in science, art, and literature","Northern India","Chandragupta I"
375,Gupta Empire,"Reign of Chandragupta II (Vikramaditya)","Peak of classical Indian civilization","Northern and Central India","Chandragupta II"
606,Post-Gupta Period,"Harsha establishes empire in North India","Last major ancient Indian empire","Northern India","Harsha"
712,Medieval India,"First Arab invasion of Sindh","Beginning of Islamic influence in India","Sindh (modern Pakistan)","Muhammad bin Qasim"
1206,Delhi Sultanate,"Establishment of Delhi Sultanate","First Muslim dynasty to rule significant parts of India","Northern India","Qutb-ud-din Aibak"
1336,Vijayanagara Empire,"Establishment of Vijayanagara Empire","Major Hindu kingdom resisting Islamic expansion","Southern India","Harihara I and Bukka Raya I"
1498,Age of Exploration,"Vasco da Gama reaches Calicut","Beginning of European colonial interest in India","Kerala (Southwest coast)","Vasco da Gama"
1526,Mughal Empire,"First Battle of Panipat, establishment of Mughal Empire","Beginning of Mughal rule in India","Northern India","Babur"
1556,Mughal Empire,"Akbar becomes emperor","Peak of Mughal power and cultural synthesis","Northern and Central India","Akbar"
1600,Colonial Era,"Formation of East India Company","Beginning of British commercial interests in India","Eastern and Western coastal regions","Queen Elizabeth I"
1757,Colonial Era,"Battle of Plassey","Beginning of British territorial control in India","Bengal (Eastern India)","Robert Clive, Siraj ud-Daulah"
1857,Colonial Era,"Indian Rebellion (First War of Independence)","First major uprising against British rule","Northern and Central India","Mangal Pandey, Rani Lakshmibai, Bahadur Shah Zafar"
1858,British Raj,"British Crown takes direct control of India","End of East India Company rule, beginning of British Raj","All India","Queen Victoria"
1885,Independence Movement,"Formation of Indian National Congress","Beginning of organized political movement for independence","All India","A.O. Hume, Dadabhai Naoroji"
1915,Independence Movement,"Gandhi returns to India from South Africa","Beginning of Gandhi's leadership in freedom struggle","All India","Mahatma Gandhi"
1919,Independence Movement,"Jallianwala Bagh Massacre","Turning point in independence movement","Punjab","General Dyer"
1920,Independence Movement,"Non-Cooperation Movement","First major nationwide protest against British rule","All India","Mahatma Gandhi"
1930,Independence Movement,"Salt March (Civil Disobedience Movement)","Iconic protest against British salt monopoly","Gujarat to Maharashtra","Mahatma Gandhi"
1942,Independence Movement,"Quit India Movement","Final major push for independence","All India","Mahatma Gandhi"
1947,Independence,"Independence and Partition of India","End of British rule, creation of India and Pakistan","All India","Jawaharlal Nehru, Muhammad Ali Jinnah, Lord Mountbatten"
1950,Republic of India,"Constitution of India comes into effect","India becomes a sovereign democratic republic","All India","Dr. B.R. Ambedkar, Rajendra Prasad"
1962,Post-Independence,"Indo-China War","Border conflict with China","Northeastern and Northwestern borders","Jawaharlal Nehru"
1971,Post-Independence,"Indo-Pakistan War, creation of Bangladesh","Liberation of Bangladesh from Pakistan","Eastern front","Indira Gandhi"
1974,Post-Independence,"India's first nuclear test (Smiling Buddha)","India joins nuclear powers","Rajasthan","Indira Gandhi"
1975,Post-Independence,"State of Emergency declared","Period of suspended civil liberties","All India","Indira Gandhi"
1991,Economic Reforms,"Economic liberalization begins","Opening of Indian economy to global market","All India","P.V. Narasimha Rao, Manmohan Singh"
1998,Modern India,"Pokhran-II nuclear tests","Confirmed status as nuclear weapons state","Rajasthan","Atal Bihari Vajpayee"
2014,Modern India,"BJP forms majority government","Shift in political landscape","All India","Narendra Modi"
2019,Modern India,"Abrogation of Article 370","Reorganization of Jammu and Kashmir","Jammu and Kashmir","Narendra Modi"
2020,Modern India,"COVID-19 pandemic in India","Major public health crisis","All India","Various"
2023,Modern India,"India becomes most populous country","Demographic milestone","All India","Various" 
